datetime	Q_Res_R	Q_Res_S
2017-11-23	11.273533597796142	13.59814978602975
2017-11-24	11.237446284454244	13.620672724853364
2017-11-25	11.238893102876105	13.693678149264933
2017-11-26	11.265612809734511	13.789226200821904
2017-11-27	11.370767289823007	13.853867507248895
2017-11-28	11.287889330011074	13.816230221803988
2017-11-29	11.092095215946843	13.704960881684386
2017-11-30	11.043464141749723	13.719182592488373
2017-12-01	11.090055448504984	13.81260252914784
2017-12-02	10.955041105717367	13.60332263626807
2017-12-03	10.829884253417456	13.456966439348578
2017-12-04	10.723318569230768	13.33407188084154
2017-12-05	10.610437047047046	13.162978061882383
2017-12-06	10.481419105571847	12.979394021329911
2017-12-07	10.362079546322827	12.802201608233524
2017-12-08	10.249184411764706	12.634747977423435
2017-12-09	10.183958511415524	12.513671309425114
2017-12-10	10.086639101876676	12.35802509724799
2017-12-11	9.981510039370079	12.199916958723096
2017-12-12	9.879268046272495	12.057330834464867
2017-12-13	9.776949147774978	11.927602925122166
2017-12-14	9.69013237037037	11.804567970222635
2017-12-15	9.632563934624697	11.676598130605731
2017-12-16	9.562176425178148	11.552304104370942
2017-12-17	9.541522127742946	11.50390288700666
2017-12-18	9.541522127742946	11.50390288700666
2017-12-19	9.541522127742946	11.50390288700666
2017-12-20	9.517179818111456	11.446130095836299
2017-12-21	9.512890084582853	11.415328784175701
2017-12-22	9.52814722644377	11.42322194819187
2017-12-23	9.503869723880596	11.341518719269029
2017-12-24	9.470576540719001	11.277923759222672
2017-12-25	9.435631290555156	11.180039714362294
2017-12-26	9.443322076541461	11.109415367697023
2017-12-27	9.433952811846689	11.02385720126864
2017-12-28	9.405600034270048	10.955065170541808
2017-12-29	9.359958749157114	10.882865869063048
2017-12-30	9.314572355673523	10.825348429874252
2017-12-31	9.274055950359243	10.764546103083278
2018-01-01	9.21783698392283	10.684588478341157
2018-01-02	9.143332973320476	10.584529343172292
2018-01-03	9.046279540340727	10.449430460889426
2018-01-04	9.006758662809386	10.310029679455159
2018-01-05	8.993303651558984	10.161311993702348
2018-01-06	8.909545162222937	10.079413983630904
2018-01-07	8.833468747189206	10.020908599100546
2018-01-08	8.79290444055944	9.958867590014304
2018-01-09	8.730237974205725	9.886974980484428
2018-01-10	8.662240635419943	9.783384816279332
2018-01-11	8.57231882109946	9.669152232987923
2018-01-12	8.448820283779426	9.58467958008352
2018-01-13	8.289042705535538	9.393141071345891
2018-01-14	8.151808645590682	9.266596429338104
2018-01-15	8.083520733851877	9.20847667591985
2018-01-16	8.051527380543144	9.192126072496391
2018-01-17	8.036040618664803	9.143289489260747
2018-01-18	8.005218223169864	9.086414833742005
2018-01-19	7.972517866955894	9.000949012585684
2018-01-20	7.9528158624494285	8.927693491736669
2018-01-21	7.90254380988024	8.83447818711976
2018-01-22	7.825811907844632	8.737898150709823
2018-01-23	7.7388058611326604	8.610823372080683
2018-01-24	7.618160015804031	8.386980246749902
2018-01-25	7.571218010471205	8.237469394607732
2018-01-26	7.5871465133470215	8.192978987668583
2018-01-27	7.585038998743192	8.096376660797235
2018-01-28	7.521459110731081	7.899852600594699
2018-01-29	7.40466390659101	7.627172877107813
